   Elevation of diffraction waves
 Wave Number:   0.500   Wave Freq.:   1.505
    1.0000  0.0000    0.33923E+00 -0.35751E+00
    0.9914  0.1305    0.33555E+00 -0.35363E+00
    0.9659  0.2588    0.32468E+00 -0.34201E+00
    1.0975  0.2941    0.32467E+00 -0.34201E+00
    1.2290  0.3293    0.32468E+00 -0.34201E+00
    1.2615  0.1661    0.33555E+00 -0.35363E+00
    1.2724  0.0000    0.33923E+00 -0.35751E+00
    1.1362  0.0000    0.33923E+00 -0.35751E+00
    0.9239  0.3827    0.30708E+00 -0.32268E+00
    0.8660  0.5000    0.28356E+00 -0.29576E+00
    0.9840  0.5681    0.28357E+00 -0.29577E+00
    1.1019  0.6362    0.28356E+00 -0.29576E+00
    1.1755  0.4869    0.30709E+00 -0.32269E+00
    0.7934  0.6088    0.25516E+00 -0.26144E+00
    0.7071  0.7071    0.22311E+00 -0.22001E+00
    0.8034  0.8034    0.22311E+00 -0.22001E+00
    0.8997  0.8997    0.22311E+00 -0.22001E+00
    1.0094  0.7746    0.25515E+00 -0.26143E+00
    0.6088  0.7934    0.18880E+00 -0.17195E+00
    0.5000  0.8660    0.15369E+00 -0.11793E+00
    0.5681  0.9840    0.15368E+00 -0.11792E+00
    0.6362  1.1019    0.15369E+00 -0.11793E+00
    0.7746  1.0094    0.18881E+00 -0.17197E+00
    0.3827  0.9239    0.11918E+00 -0.58785E-01
    0.2588  0.9659    0.86600E-01  0.44251E-02
    0.2941  1.0975    0.86608E-01  0.44084E-02
    0.3293  1.2290    0.86601E-01  0.44229E-02
    0.4869  1.1755    0.11918E+00 -0.58779E-01
    0.1305  0.9914    0.57061E-01  0.70463E-01
    0.0000  1.0000    0.31433E-01  0.13796E+00
    0.0000  1.1362    0.31433E-01  0.13796E+00
    0.0000  1.2724    0.31433E-01  0.13796E+00
    0.1661  1.2615    0.57069E-01  0.70444E-01
    1.3632  0.3653    0.32467E+00 -0.34201E+00
    1.4974  0.4012    0.32468E+00 -0.34201E+00
    1.5369  0.2023    0.33555E+00 -0.35363E+00
    1.5502  0.0000    0.33923E+00 -0.35751E+00
    1.4113  0.0000    0.33923E+00 -0.35751E+00
    1.2222  0.7056    0.28357E+00 -0.29577E+00
    1.3425  0.7751    0.28356E+00 -0.29577E+00
    1.4322  0.5932    0.30709E+00 -0.32269E+00
    0.9979  0.9979    0.22311E+00 -0.22001E+00
    1.0962  1.0962    0.22311E+00 -0.22001E+00
    1.2299  0.9437    0.25516E+00 -0.26144E+00
    0.7056  1.2222    0.15368E+00 -0.11791E+00
    0.7751  1.3425    0.15369E+00 -0.11793E+00
    0.9437  1.2299    0.18880E+00 -0.17195E+00
    0.3653  1.3632    0.86608E-01  0.44085E-02
    0.4012  1.4974    0.86599E-01  0.44276E-02
    0.5932  1.4322    0.11918E+00 -0.58772E-01
    0.0000  1.4113    0.31433E-01  0.13796E+00
    0.0000  1.5502    0.31433E-01  0.13796E+00
    0.2023  1.5369    0.57061E-01  0.70465E-01
    1.6342  0.4379    0.32467E+00 -0.34201E+00
    1.7711  0.4746    0.32467E+00 -0.34201E+00
    1.8179  0.2393    0.33555E+00 -0.35363E+00
    1.8336  0.0000    0.33923E+00 -0.35751E+00
    1.6919  0.0000    0.33923E+00 -0.35751E+00
    1.4652  0.8459    0.28357E+00 -0.29577E+00
    1.5879  0.9168    0.28356E+00 -0.29576E+00
    1.6940  0.7017    0.30708E+00 -0.32268E+00
    1.1963  1.1963    0.22311E+00 -0.22001E+00
    1.2965  1.2965    0.22311E+00 -0.22001E+00
