   Elevation of total waves
 Wave Number:   0.500   Wave Freq.:   1.505
    1.0000  0.0000   -0.53835E+00 -0.83694E+00
    0.9914  0.1305   -0.54408E+00 -0.82928E+00
    0.9659  0.2588   -0.56095E+00 -0.80640E+00
    1.0975  0.2941   -0.52850E+00 -0.86363E+00
    1.2290  0.3293   -0.49239E+00 -0.91856E+00
    1.2615  0.1661   -0.47203E+00 -0.94338E+00
    1.2724  0.0000   -0.46513E+00 -0.95166E+00
    1.1362  0.0000   -0.50369E+00 -0.89554E+00
    0.9239  0.3827   -0.58810E+00 -0.76838E+00
    0.8660  0.5000   -0.62415E+00 -0.71536E+00
    0.9840  0.5681   -0.59782E+00 -0.76816E+00
    1.1019  0.6362   -0.56846E+00 -0.81926E+00
    1.1755  0.4869   -0.52510E+00 -0.87718E+00
    0.7934  0.6088   -0.66718E+00 -0.64781E+00
    0.7071  0.7071   -0.71504E+00 -0.56624E+00
    0.8034  0.8034   -0.69729E+00 -0.61099E+00
    0.8997  0.8997   -0.67741E+00 -0.65484E+00
    1.0094  0.7746   -0.62017E+00 -0.74497E+00
    0.6088  0.7934   -0.76523E+00 -0.47167E+00
    0.5000  0.8660   -0.81522E+00 -0.36533E+00
    0.5681  0.9840   -0.80625E+00 -0.39817E+00
    0.6362  1.1019   -0.79614E+00 -0.43069E+00
    0.7746  1.0094   -0.73712E+00 -0.54966E+00
    0.3827  0.9239   -0.86256E+00 -0.24897E+00
    0.2588  0.9659   -0.90504E+00 -0.12461E+00
    0.2941  1.0975   -0.90260E+00 -0.14211E+00
    0.3293  1.2290   -0.89987E+00 -0.15948E+00
    0.4869  1.1755   -0.85133E+00 -0.29983E+00
    0.1305  0.9914   -0.94081E+00  0.52592E-02
    0.0000  1.0000   -0.96857E+00  0.13796E+00
    0.0000  1.1362   -0.96857E+00  0.13796E+00
    0.0000  1.2724   -0.96857E+00  0.13796E+00
    0.1661  1.2615   -0.93948E+00 -0.12510E-01
    1.3632  0.3653   -0.45189E+00 -0.97204E+00
    1.4974  0.4012   -0.40790E+00 -0.10227E+01
    1.5369  0.2023   -0.38344E+00 -0.10487E+01
    1.5502  0.0000   -0.37512E+00 -0.10573E+01
    1.4113  0.0000   -0.42196E+00 -0.10060E+01
    1.2222  0.7056   -0.53545E+00 -0.86954E+00
    1.3425  0.7751   -0.49948E+00 -0.91773E+00
    1.4322  0.5932   -0.44728E+00 -0.97914E+00
    0.9979  0.9979   -0.65498E+00 -0.69851E+00
    1.0962  1.0962   -0.63041E+00 -0.74108E+00
